Asia	#788: Asia Champions Cup
	
	
	
Africa	#898: African Championship
Albania	#31: Superliga
	#32: 1st Division
Algeria	#34: Ligue 1
	#35: Ligue 2
Andorra	1a Divisió
Argentina	#44: Liga Profesional Argentina
	#40: Prim B Metro
Armenia	#45: Premier League
Australia	#49: A-League Men
Austria	#56: Bundesliga
	#53: 2. Liga
 Azerbaijan	#57: Premyer Liqa
Bahrain	#59: Premier League
Bangladesh	#60: Premier League
Barbados	#403: Premier League
Belarus	#61: Premier League
Belgium	#63: First Division A
	#574: Super League
Bolivia	#69: Primera División
Bosnia and Herzegovina	#71: 1st League
Botswana	#490: Premier League
Brazil	#99: Serie A
	#75: Serie B
Bulgaria	#111: First League
Cameroon	#112: Elite One
Canada	#659: Canadian Premier League
	#407: Canadian Championship
 Chile	#115: Primera División
	#116: Primera B
China	#118: Chinese Super League
Colombia	#120: Primera A
	#517: Primera B
Costa Rica	#121: Primera División
Croatia	#124: HNL
	#7961: Second NL
Cyprus	#130: 1. Division
Czech Republic	#134: Czech Liga
	#133: FNL
Denmark	#135: Superliga
	#138: 1. Division
Ecuador	#140: Liga Pro
 Egypt	#141: Premier League
	#701: Second Division A
England	#152: Premier League
	#153: Championship
	#154: League One
	#145: League Two
Estonia	#156: Meistriliiga
 Europe	#3: UEFA Champions League
	#4: UEFA Europa League
	#683: UEFA Conference League
Faroe Islands	#157: Meistaradeildin
Finland	#352: Veikkausliiga
	#353: Ykkönen
France	#168: Ligue 1
	#164: Ligue 2
	#167: National 1
Georgia	#170: Erovnuli Liga
Germany	#175: Bundesliga
	#171: 2. Bundesliga
	#176: 3. Liga
Ghana	#177: Premier League
Gibraltar	#345: Premier Division
Greece	#178: Super League 1
	#439: Super League 2
Guatemala	#182: Liga Nacional
Hong Kong	#186: Premier League
Hungary	#191: NB I
	#188: NB II
 Iceland	#192: Besta deild
 India	#566: Indian Super League
	#193: I-League
Indonesia	#194: Liga 1
International	#10: AFC Champions League Elite
	#346: CAF Champions League
Iran	#195: Persian Gulf Pro League
Iraq	#495: Iraqi League
Israel	#202: Ligat Ha'al
Italy	#207: Serie A
	#206: Serie B
	#359: Serie C
Ivory Coast	#123: Ligue 1
Jamaica	#208: Premier League
Japan	#209: J1 League
	#212: J2 League
Jordan	#213: League
Kazakhstan	#214: Premier League
Kenya	#216: FKF Premier League
Kosovo	#544: Superliga
Kuwait	#220: Premier League
Latvia	#223: Virsliga
Lebanon	#224: Premier League
Libya	#225: Premier League
Lithuania	#227: A Lyga
Luxembourg	#228: National Division
Malaysia	#232: Super League
Malta	#234: Premier League
	#233: Challenge League
Mauritania	#559: Premier League
Mauritius	#557: Mauritian League
Mexico	#235: Liga MX
	#236: Liga de Expansión MX
Moldova	#237: Super Liga
	#238: Liga 1
Mongolia	#446: Premier League
Montenegro	#398: First League
Morocco	#239: Botola Pro
Myanmar	#589: National League
Nepal	#496: A Division
Netherlands	#244: Eredivisie
	#245: Eerste Divisie
New Zealand	#246: Premiership
Nicaragua	#247: Primera Division
Northern Ireland	#251: Premiership
Norway	#253: Eliteserien
	#252: NM Cupen
Oman	#254: Professional League
Pakistan	#693: Premier League
 Panama	#406: LPF
Paraguay	#255: Division Profesional
	#256: Division Intermedia
Peru	#257: Primera División
	#258: Segunda División
Philippines	#623: PFL
Poland	#259: Ekstraklasa
	#263: I Liga
Portugal	#264: Campeonato de Portugal Prio
	#266: Primeira Liga
Qatar	#269: Stars League
	#397: Second Division
Republic of Ireland	#200: Premier Division
Romania	#272: Liga I
	#271: Liga II
	#270: Liga III
Russia	#344: Premier League
San Marino	#276: Campionato
Saudi Arabia	#278: Saudi League
	#277: Division 1
Scotland	#279: Premiership
	#282: Championship
Senegal	#497: Ligue 1
Serbia	#288: Super Liga
Singapore	#289: Premier League
Slovakia	#293: 1. liga
Slovenia	#296: 1. SNL
South Africa	#530: 1st Division
Spain	#302: La Liga
	#301: Segunda División
Sweden	#307: Allsvenskan
	#305: Superettan
Switzerland	#308: Super League
	#312: Challenge League
Syria	#313: Premier League
Thailand	#314: Thai League 1
	#602: Thai League 2
Turkey	#322: Süper Lig
	#319: 1. Lig
	#318: 2. Lig
Uganda	#555: Premier League
Ukraine	#325: Premier League
	#324: Persha Liga
United Arab Emirates	#328: Pro League
	#483: Division 1
Uruguay	#333: Primera División
	#334: Segunda División
USA	#332: MLS
	#8102: USL Super League
Uzbekistan	#335: Super League
Venezuela	#337: Primera División
Vietnam	#339: V.League 1
Wales	#341: Premier League
Zambia	#342: Super League
	
	
Worldcup	#28: World Cup
	#1: UEFA European Championship
